Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Adam Eaton,- - -,Adam Eaton,2018,302,0.276691252,0.628907741,0.507853403,0.188481675,0.23502304,0.072847682,0.195364238,Adam Eaton,11205,594809
Adam Frazier,- - -,Adam Frazier,2018,674,0.284575959,0.646905537,0.467583497,0.243614931,0.22524272,0.06231454,0.15430267,Adam Frazier,15223,624428
Alex Gordon,KCR,Alex Gordon,2018,371,0.276089899,0.612640078,0.47265625,0.21875,0.35658915,0.078167115,0.196765498,Alex Gordon,5209,460086
Alex Verdugo,- - -,Alex Verdugo,2018,742,0.293898254,0.666821921,0.525179856,0.214028776,0.27777778,0.066037735,0.16981132,Alex Verdugo,17027,657077
Andrés Giménez,- - -,Andrés Giménez,2020,389,0.333126996,0.756855413,0.498181818,0.17090909,0.22033898,0.048843187,0.156812339,Andres Gimenez,19950,665926
Andrew Benintendi,- - -,Andrew Benintendi,2018,806,0.3202957,0.735695978,0.414159292,0.233628318,0.30434783,0.08312655,0.192307692,Andrew Benintendi,17901,643217
Anthony Rizzo,- - -,Anthony Rizzo,2018,774,0.351618735,0.804380055,0.438502673,0.221033868,0.29964539,0.085271317,0.143410852,Anthony Rizzo,3473,519203
Austin Meadows,- - -,Austin Meadows,2018,523,0.298981175,0.698472375,0.330434782,0.205797101,0.37971014,0.068833652,0.26003824,Austin Meadows,15672,640457
Ben Gamel,- - -,Ben Gamel,2018,375,0.29654558,0.666904427,0.392857142,0.258928571,0.2832618,0.093333333,0.266666666,Ben Gamel,12160,592325
Brandon Belt,- - -,Brandon Belt,2018,544,0.295945232,0.65360552,0.328025477,0.235668789,0.35913313,0.134191176,0.25367647,Brandon Belt,10264,474832
Brandon Crawford,SFG,Brandon Crawford,2018,733,0.296830605,0.684315958,0.438356164,0.246575342,0.31712062,0.065484311,0.219645293,Brandon Crawford,5343,543063
Brandon Lowe,TBR,Brandon Lowe,2018,461,0.308010244,0.720919035,0.381132075,0.19245283,0.31716418,0.071583514,0.334056399,Brandon Lowe,18882,664040
Brandon Marsh,- - -,Brandon Marsh,2021,296,0.262802702,0.590618172,0.513333333,0.233333333,0.30379747,0.067567567,0.39527027,Brandon Marsh,20202,669016
Brandon Nimmo,NYM,Brandon Nimmo,2018,851,0.346485634,0.786529179,0.472795497,0.215759849,0.31539889,0.099882491,0.233842538,Brandon Nimmo,12927,607043
Brett Gardner,NYY,Brett Gardner,2018,434,0.280706643,0.633713945,0.525,0.210714285,0.2739726,0.085253456,0.235023041,Brett Gardner,9927,458731
Brett Phillips,- - -,Brett Phillips,2018,200,0.170890604,0.346938774,0.528735632,0.195402298,0.19148936,0.095,0.425,Brett Phillips,14735,621433
Brian Goodwin,- - -,Brian Goodwin,2018,240,0.271031312,0.621679443,0.404255319,0.226950354,0.29166667,0.066666666,0.304166666,Brian Goodwin,12858,571718
Bryce Harper,- - -,Bryce Harper,2018,999,0.371581022,0.868371861,0.452830188,0.21955403,0.38151261,0.143143143,0.25025025,Bryce Harper,11579,547180
Bryson Stott,PHI,Bryson Stott,2022,277,0.325331377,0.738121578,0.482051282,0.22051282,0.2755102,0.086642599,0.194945848,Bryson Stott,26294,681082
Cavan Biggio,TOR,Cavan Biggio,2019,404,0.321171936,0.714005647,0.383495145,0.276699029,0.3047619,0.143564356,0.314356435,Cavan Biggio,19252,624415
Cedric Mullins,BAL,Cedric Mullins,2021,563,0.304104731,0.697414283,0.417525773,0.188144329,0.2638191,0.071047957,0.209591474,Cedric Mullins,17929,656775
Charlie Blackmon,COL,Charlie Blackmon,2018,1016,0.36188958,0.840496379,0.443121693,0.247354497,0.31752306,0.071850393,0.158464566,Charlie Blackmon,7859,453568
Chris Davis,BAL,Chris Davis,2018,222,0.215862258,0.478296477,0.438596491,0.175438596,0.3245614,0.09009009,0.387387387,Chris Davis,9272,448801
Christian Yelich,MIL,Christian Yelich,2018,954,0.347013893,0.808962703,0.576051779,0.200647249,0.36392915,0.109014675,0.231656184,Christian Yelich,11477,592885
CJ Abrams,- - -,CJ Abrams,2022,261,0.21072238,0.465910553,0.474576271,0.18079096,0.18681319,0.03065134,0.233716475,CJ Abrams,25768,682928
Cody Bellinger,- - -,Cody Bellinger,2018,960,0.324032029,0.760599414,0.38449848,0.208206686,0.37537994,0.097916666,0.2125,Cody Bellinger,15998,641355
Colin Moran,- - -,Colin Moran,2018,321,0.26859062,0.60918739,0.527777777,0.208333333,0.31797235,0.074766355,0.242990654,Colin Moran,16909,592567
Corbin Carroll,ARI,Corbin Carroll,2022,204,0.308234867,0.7010101,0.513513513,0.209459459,0.26708075,0.058823529,0.132352941,Corbin Carroll,25878,682998
Corey Dickerson,- - -,Corey Dickerson,2018,341,0.289541925,0.675027746,0.483606557,0.209016393,0.23265306,0.046920821,0.2228739,Corey Dickerson,10762,572816
Corey Seager,- - -,Corey Seager,2018,810,0.339916599,0.798411279,0.43581081,0.194256756,0.39864865,0.060493827,0.197530864,Corey Seager,13624,608369
Daniel Murphy,- - -,Daniel Murphy,2018,257,0.305175744,0.708498154,0.465608465,0.227513227,0.24867725,0.062256809,0.194552529,Daniel Murphy,4316,502517
Daniel Vogelbach,- - -,Daniel Vogelbach,2018,318,0.219426577,0.463756139,0.405555555,0.172222222,0.30555556,0.122641509,0.295597484,Daniel Vogelbach,14130,596129
Daulton Varsho,- - -,Daulton Varsho,2020,372,0.283476341,0.648021934,0.4,0.226086956,0.21072797,0.056451612,0.236559139,Daulton Varsho,19918,662139
David Dahl,- - -,David Dahl,2018,289,0.277578136,0.65366003,0.453551912,0.202185792,0.33152174,0.044982698,0.311418685,David Dahl,13744,621311
David Peralta,- - -,David Peralta,2018,565,0.291570667,0.665749819,0.527272727,0.197402597,0.33678756,0.065486725,0.237168141,David Peralta,2136,444482
Dee Strange-Gordon,- - -,Dee Strange-Gordon,2018,305,0.265725246,0.608463898,0.55,0.216666666,0.164,0.009836065,0.144262295,Dee Strange-Gordon,8203,543829
Didi Gregorius,- - -,Didi Gregorius,2018,492,0.286281664,0.665955472,0.447721179,0.136729222,0.28042328,0.056910569,0.146341463,Didi Gregorius,6012,544369
Dominic Smith,- - -,Dominic Smith,2018,453,0.313454119,0.711778461,0.477987421,0.242138364,0.28301887,0.086092715,0.198675496,Dominic Smith,15653,642086
Eddie Rosario,- - -,Eddie Rosario,2018,623,0.297633102,0.690228241,0.44117647,0.214285714,0.30165289,0.049759229,0.171749598,Eddie Rosario,12155,592696
Ender Inciarte,- - -,Ender Inciarte,2018,268,0.292185509,0.661215538,0.538860103,0.259067357,0.27860697,0.074626865,0.164179104,Ender Inciarte,4922,542255
Eric Hosmer,- - -,Eric Hosmer,2018,756,0.27052377,0.618958834,0.600352112,0.176056338,0.33099825,0.056878306,0.182539682,Eric Hosmer,3516,543333
Freddie Freeman,- - -,Freddie Freeman,2018,1082,0.365470841,0.85297528,0.40824468,0.276595744,0.36037234,0.08595194,0.201478743,Freddie Freeman,5361,518692
Gavin Lux,LAD,Gavin Lux,2019,230,0.265316124,0.587420851,0.527027027,0.182432432,0.25,0.1,0.256521739,Gavin Lux,19955,666158
Gregory Polanco,PIT,Gregory Polanco,2018,330,0.273101718,0.620043807,0.394871794,0.21025641,0.31979695,0.087878787,0.29090909,Gregory Polanco,12907,570256
Harold Castro,- - -,Harold Castro,2019,216,0.228257522,0.518292682,0.5,0.25,0.25,0.027777777,0.25,Harold Castro,14691,605612
J.P. Crawford,- - -,J.P. Crawford,2018,864,0.296353048,0.661182087,0.470489038,0.231028667,0.24292845,0.105324074,0.189814814,J.P. Crawford,15491,641487
Jace Peterson,- - -,Jace Peterson,2018,223,0.264887972,0.577139639,0.552447552,0.23076923,0.20138889,0.112107623,0.233183856,Jace Peterson,12325,607054
Jack Suwinski,PIT,Jack Suwinski,2022,243,0.255842644,0.563843968,0.475409836,0.139344262,0.28455285,0.102880658,0.374485596,Jack Suwinski,22244,669261
Jackie Bradley Jr.,- - -,Jackie Bradley Jr.,2018,582,0.270518009,0.608472521,0.582608695,0.142028985,0.3008596,0.091065292,0.288659793,Jackie Bradley Jr.,12984,598265
Jake Bauers,- - -,Jake Bauers,2018,332,0.265348792,0.605757575,0.411167512,0.233502538,0.295,0.078313253,0.310240963,Jake Bauers,15194,641343
Jake Cave,- - -,Jake Cave,2018,263,0.245268635,0.568193053,0.457746478,0.295774647,0.32653061,0.038022813,0.395437262,Jake Cave,14477,595909
Jake Cronenworth,SDP,Jake Cronenworth,2020,627,0.309862349,0.7031843,0.429245283,0.198113207,0.28103044,0.076555023,0.208931419,Jake Cronenworth,18036,630105
Jake McCarthy,ARI,Jake McCarthy,2021,210,0.315785554,0.710706859,0.542857142,0.178571428,0.24305556,0.076190476,0.204761904,Jake McCarthy,21622,664983
Jared Walsh,LAA,Jared Walsh,2019,377,0.255171725,0.593014779,0.52191235,0.175298804,0.35433071,0.053050397,0.270557029,Jared Walsh,18607,665120
Jarred Kelenic,SEA,Jarred Kelenic,2021,294,0.251212962,0.566213151,0.458563535,0.187845303,0.25274725,0.078231292,0.299319727,Jarred Kelenic,22558,672284
Jason Heyward,- - -,Jason Heyward,2018,388,0.270962198,0.61663996,0.52173913,0.163043478,0.33453237,0.069587628,0.211340206,Jason Heyward,4940,518792
Jason Kipnis,- - -,Jason Kipnis,2018,360,0.278184658,0.631392418,0.393700787,0.16535433,0.31034483,0.086111111,0.183333333,Jason Kipnis,9776,543401
Jay Bruce,- - -,Jay Bruce,2018,218,0.286092862,0.668652151,0.285714285,0.217687074,0.33783784,0.077981651,0.243119266,Jay Bruce,9892,457803
Jazz Chisholm Jr.,MIA,Jazz Chisholm Jr.,2020,297,0.261766685,0.603328197,0.511111111,0.172222222,0.23529412,0.047138047,0.309764309,Jazz Chisholm Jr.,20454,665862
Jeff McNeil,NYM,Jeff McNeil,2018,778,0.333803502,0.755549589,0.450751252,0.218697829,0.22712418,0.068123393,0.115681233,Jeff McNeil,15362,643446
Jesse Winker,- - -,Jesse Winker,2018,433,0.307141826,0.678013053,0.52014652,0.186813186,0.34057971,0.13625866,0.210161662,Jesse Winker,13590,608385
Ji Man Choi,- - -,Ji Man Choi,2018,284,0.261347636,0.581211267,0.484276729,0.232704402,0.31055901,0.091549295,0.323943661,Ji Man Choi,5452,596847
Joc Pederson,- - -,Joc Pederson,2018,338,0.284925077,0.640281899,0.495412844,0.183486238,0.30769231,0.088757396,0.24556213,Joc Pederson,11899,592626
Joe Panik,- - -,Joe Panik,2018,331,0.266954623,0.592075279,0.472868217,0.201550387,0.30534351,0.093655589,0.099697885,Joe Panik,11936,605412
Joey Gallo,- - -,Joey Gallo,2018,701,0.330137009,0.771605666,0.311688311,0.175324675,0.42724458,0.118402282,0.40513552,Joey Gallo,14128,608336
Joey Votto,CIN,Joey Votto,2018,795,0.323219506,0.718380857,0.446351931,0.236051502,0.39914163,0.139622641,0.251572327,Joey Votto,4314,458015
Joey Wendle,- - -,Joey Wendle,2018,437,0.276992847,0.624691798,0.529010238,0.184300341,0.24579125,0.086956521,0.221967963,Joey Wendle,13853,621563
Jon Jay,- - -,Jon Jay,2018,247,0.27467487,0.588050314,0.640718562,0.221556886,0.24137931,0.080971659,0.174089068,Jon Jay,5227,445055
Josh Naylor,- - -,Josh Naylor,2019,423,0.288457704,0.655649141,0.551948051,0.159090909,0.28571429,0.070921985,0.186761229,Josh Naylor,18839,647304
Josh Reddick,- - -,Josh Reddick,2018,384,0.327007816,0.765647562,0.386759581,0.212543554,0.30927835,0.065104166,0.177083333,Josh Reddick,3892,502210
Josh Rojas,- - -,Josh Rojas,2019,396,0.307961255,0.68934571,0.5,0.211206896,0.25833333,0.103535353,0.282828282,Josh Rojas,19734,668942
