Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Aaron Hicks,Right,Left,2018,1400,0.325253591,0.733987472,0.426229508,0.177985948,0.29445727,0.157857142,0.218571428,Aaron Hicks,5297,543305
Abraham Toro,Right,Left,2019,640,0.286270594,0.661045258,0.429175475,0.158562367,0.2769556,0.0703125,0.175,Abraham Toro,19844,647351
Adalberto Mondesi,Right,Left,2018,817,0.29811667,0.700981316,0.448202959,0.196617336,0.37816764,0.051407588,0.319461444,Adalberto Mondesi,13769,609275
Adam Eaton,Right,Left,2018,1188,0.337819499,0.774639529,0.43263288,0.220024721,0.34175692,0.096801346,0.18013468,Adam Eaton,11205,594809
Adam Frazier,Right,Left,2018,2212,0.321045558,0.740320899,0.399884259,0.255787037,0.27013135,0.076853526,0.121609403,Adam Frazier,15223,624428
Adley Rutschman,Right,Left,2022,851,0.357386373,0.823577418,0.403361344,0.228571428,0.28235294,0.129259694,0.164512338,Adley Rutschman,26288,668939
Akil Baddoo,Right,Left,2021,883,0.3146814,0.72342578,0.413669064,0.178057553,0.3059034,0.11211778,0.254813137,Akil Baddoo,22168,668731
Alek Thomas,Right,Left,2022,636,0.295556287,0.683032635,0.550847457,0.19279661,0.35443038,0.055031446,0.190251572,Alek Thomas,23792,677950
Alex Avila,Right,Left,2018,504,0.303026906,0.69429014,0.458149779,0.255506607,0.49122807,0.182539682,0.363095238,Alex Avila,7476,488671
Alex Dickerson,Right,Left,2019,646,0.333818235,0.790620829,0.36689038,0.217002237,0.36017897,0.075851393,0.219814241,Alex Dickerson,12649,543105
Alex Gordon,Right,Left,2018,1014,0.318427376,0.736386244,0.439265536,0.252824858,0.36554622,0.088757396,0.185404339,Alex Gordon,5209,460086
Alex Kirilloff,Right,Left,2021,549,0.329710673,0.768467153,0.434666666,0.258666666,0.368,0.067395264,0.236794171,Alex Kirilloff,20325,666135
Alex Verdugo,Right,Left,2018,1791,0.345323322,0.810061245,0.461371841,0.212996389,0.36750903,0.07816862,0.143495254,Alex Verdugo,17027,657077
Andrés Giménez,Right,Left,2020,1125,0.323624911,0.746441994,0.448412698,0.189153439,0.27849741,0.057777777,0.216888888,Andres Gimenez,19950,665926
Andrew Benintendi,Right,Left,2018,2202,0.333259659,0.769383184,0.397123202,0.225766103,0.31199503,0.097184377,0.168483197,Andrew Benintendi,17901,643217
Andrew Knapp,Right,Left,2018,520,0.268939875,0.603580705,0.391941391,0.249084249,0.32517483,0.109615384,0.326923076,Andrew Knapp,14942,595284
Anthony Rizzo,Right,Left,2018,2292,0.350921902,0.822116109,0.360583016,0.228770595,0.34785354,0.108202443,0.164921465,Anthony Rizzo,3473,519203
Anthony Santander,Right,Left,2018,1707,0.322353669,0.758439949,0.315789473,0.189792663,0.35793651,0.062683069,0.18453427,Anthony Santander,14551,623993
Asdrúbal Cabrera,Right,Left,2018,1187,0.324828046,0.759024623,0.38125,0.225,0.38337469,0.094355518,0.219882055,Asdrubal Cabrera,4962,452678
Austin Meadows,Right,Left,2018,1170,0.358200881,0.85441761,0.330456226,0.203452527,0.38471023,0.102564102,0.194017094,Austin Meadows,15672,640457
Ben Gamel,Right,Left,2018,1239,0.318573099,0.727276255,0.415803108,0.261658031,0.34664948,0.11945117,0.249394673,Ben Gamel,12160,592325
Ben Zobrist,Right,Left,2018,533,0.342902292,0.7882611,0.49127182,0.211970074,0.3159204,0.114446529,0.125703564,Ben Zobrist,7435,450314
Billy Hamilton,Right,Left,2018,708,0.26311999,0.591888021,0.399572649,0.258547008,0.20123203,0.077683615,0.233050847,Billy Hamilton,10199,571740
Billy McKinney,Right,Left,2018,751,0.290009884,0.678295963,0.376811594,0.213250517,0.34773663,0.093209054,0.254327563,Billy McKinney,15654,641856
Brad Miller,Right,Left,2018,1089,0.332111681,0.773639295,0.423600605,0.187594553,0.39006024,0.114784205,0.271808999,Brad Miller,12775,543543
Brandon Belt,Right,Left,2018,1790,0.36620917,0.862943726,0.260377358,0.244339622,0.39391144,0.131284916,0.255307262,Brandon Belt,10264,474832
Brandon Crawford,Right,Left,2018,1941,0.313534475,0.7324699,0.440458015,0.2,0.33712984,0.099433281,0.210716125,Brandon Crawford,5343,543063
Brandon Lowe,Right,Left,2018,1555,0.360040643,0.847067169,0.355110642,0.216016859,0.38445378,0.114469453,0.2585209,Brandon Lowe,18882,664040
Brandon Marsh,Right,Left,2021,897,0.339658514,0.784447108,0.415384615,0.25,0.35551331,0.096989966,0.307692307,Brandon Marsh,20202,669016
Brandon Nimmo,Right,Left,2018,1903,0.372630495,0.857460969,0.446880269,0.196458684,0.34557596,0.143457698,0.207566999,Brandon Nimmo,12927,607043
Brendan Donovan,Right,Left,2022,699,0.353565671,0.801354605,0.494949494,0.226262626,0.306,0.104434907,0.151645207,Brendan Donovan,24679,680977
Brett Gardner,Right,Left,2018,1344,0.331906952,0.773688472,0.432967032,0.172527472,0.31521739,0.123511904,0.184523809,Brett Gardner,9927,458731
Brett Phillips,Right,Left,2018,673,0.291284165,0.672908333,0.343283582,0.223880597,0.35652174,0.099554234,0.381872213,Brett Phillips,14735,621433
Brian Goodwin,Right,Left,2018,833,0.33128862,0.778487004,0.336557059,0.255319148,0.36223507,0.105642256,0.270108043,Brian Goodwin,12858,571718
Brock Holt,Right,Left,2018,832,0.316528175,0.723859814,0.488888888,0.234188034,0.31623932,0.096153846,0.185096153,Brock Holt,9345,571788
Bryan Reynolds,Right,Left,2019,1885,0.360849966,0.847767617,0.392545598,0.249008723,0.35816165,0.100265251,0.212732095,Bryan Reynolds,19326,668804
Bryce Harper,Right,Left,2018,2193,0.393042976,0.94711695,0.383915022,0.233687405,0.43937126,0.164614683,0.218878248,Bryce Harper,11579,547180
Bryson Stott,Right,Left,2022,829,0.303017257,0.697385997,0.458730158,0.187301587,0.29623824,0.061519903,0.162846803,Bryson Stott,26294,681082
Cal Raleigh,Right,Left,2021,890,0.321327455,0.752814578,0.313868613,0.182481751,0.35583942,0.087640449,0.293258426,Cal Raleigh,21534,663728
Carlos Santana,Right,Left,2018,2446,0.317003976,0.727398579,0.393939393,0.175151515,0.35230024,0.150858544,0.171708912,Carlos Santana,2396,467793
Cavan Biggio,Right,Left,2019,1226,0.324742167,0.739822999,0.332876712,0.21369863,0.33152174,0.137846655,0.251223491,Cavan Biggio,19252,624415
Cedric Mullins,Right,Left,2018,1546,0.34016366,0.793737832,0.383753501,0.174603174,0.30188679,0.081500646,0.186287192,Cedric Mullins,17929,656775
