Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,LD%,GB%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Aaron Hicks,Left,Right,2018,536,0.332078913,0.767473801,0.194285714,0.428571428,0.4017094,0.110074626,0.229477611,Aaron Hicks,5297,543305
Aaron Judge,Left,Right,2018,722,0.420657517,1.017399755,0.203473945,0.389578163,0.51861042,0.160664819,0.270083102,Aaron Judge,15640,592450
Abraham Toro,Left,Right,2019,292,0.258183958,0.564172813,0.163461538,0.408653846,0.27403846,0.075342465,0.184931506,Abraham Toro,19844,647351
Adalberto Mondesi,Left,Right,2018,340,0.3205595,0.765249469,0.136363636,0.466942148,0.4048583,0.026470588,0.238235294,Adalberto Mondesi,13769,609275
Adam Duvall,Left,Right,2018,533,0.313720845,0.746848223,0.193353474,0.232628398,0.40483384,0.078799249,0.294559099,Adam Duvall,10950,594807
Adam Engel,Left,Right,2018,383,0.274144245,0.632963826,0.18359375,0.40625,0.26217228,0.044386422,0.242819843,Adam Engel,15082,641553
Adam Jones,Left,Right,2018,342,0.3064264,0.719879408,0.212454212,0.41025641,0.34057971,0.043859649,0.143274853,Adam Jones,6368,430945
Adley Rutschman,Left,Right,2022,306,0.339136031,0.764450571,0.240566037,0.41981132,0.35849057,0.153594771,0.153594771,Adley Rutschman,26288,668939
Adolis García,Left,Right,2018,582,0.31693041,0.740432677,0.159340659,0.395604395,0.37260274,0.085910652,0.285223367,Adolis Garcia,19287,666969
AJ Pollock,Left,Right,2018,675,0.345637347,0.827805899,0.187122736,0.43863179,0.43460765,0.06074074,0.192592592,AJ Pollock,9256,572041
Albert Almora Jr.,Left,Right,2018,366,0.277282608,0.632360073,0.180851063,0.528368794,0.25088339,0.06284153,0.155737704,Albert Almora Jr.,14109,546991
Albert Pujols,Left,Right,2018,648,0.360277914,0.86659866,0.175889328,0.428853754,0.41501976,0.069444444,0.143518518,Albert Pujols,1177,405395
Alcides Escobar,Left,Right,2018,296,0.288184516,0.651876876,0.29245283,0.410377358,0.23963134,0.050675675,0.18581081,Alcides Escobar,6310,444876
Alec Bohm,Left,Right,2020,522,0.376426848,0.891729981,0.232558139,0.408268733,0.39534884,0.072796934,0.180076628,Alec Bohm,21618,664761
Aledmys Díaz,Left,Right,2018,557,0.306162617,0.713936621,0.178147268,0.427553444,0.31042654,0.082585278,0.154398563,Aledmys Diaz,15937,649557
Alejandro Kirk,Left,Right,2020,304,0.339057272,0.775845864,0.189427312,0.497797356,0.35242291,0.108552631,0.134868421,Alejandro Kirk,22581,672386
Alex Bregman,Left,Right,2018,1042,0.372898729,0.878335776,0.210997442,0.331202046,0.35549872,0.134357005,0.105566218,Alex Bregman,17678,608324
Amed Rosario,Left,Right,2018,910,0.344235039,0.804722725,0.210982658,0.489884393,0.31798561,0.058241758,0.175824175,Amed Rosario,15518,642708
Andrelton Simmons,Left,Right,2018,516,0.306656511,0.698037051,0.16826923,0.526442307,0.31264916,0.077519379,0.102713178,Andrelton Simmons,10847,592743
Andrew McCutchen,Left,Right,2018,879,0.369200561,0.856618738,0.242160278,0.388501742,0.39372822,0.137656427,0.200227531,Andrew McCutchen,9847,457705
Andrew Vaughn,Left,Right,2021,406,0.335000255,0.770315135,0.18,0.44,0.34333333,0.093596059,0.162561576,Andrew Vaughn,26197,683734
Andy Ibáñez,Left,Right,2021,259,0.338737691,0.796277112,0.197115384,0.326923076,0.37980769,0.042471042,0.15057915,Andy Ibanez,18819,628451
Anthony Rendon,Left,Right,2018,595,0.376958664,0.905902889,0.231527093,0.307881773,0.39901478,0.149579831,0.156302521,Anthony Rendon,12861,543685
Anthony Santander,Left,Right,2018,710,0.3375084,0.789414612,0.191629955,0.4030837,0.3876652,0.085915492,0.270422535,Anthony Santander,14551,623993
Aristides Aquino,Left,Right,2019,285,0.291708492,0.674173481,0.184713375,0.382165605,0.32484076,0.098245614,0.336842105,Aristides Aquino,15482,606157
Asdrúbal Cabrera,Left,Right,2018,484,0.316971354,0.742637374,0.170391061,0.474860335,0.38504155,0.084710743,0.167355371,Asdrubal Cabrera,4962,452678
Austin Barnes,Left,Right,2018,436,0.276137488,0.619228312,0.155555555,0.47037037,0.3381295,0.105504587,0.23853211,Austin Barnes,12158,605131
Austin Hays,Left,Right,2019,598,0.334388205,0.780564532,0.18119266,0.440366972,0.32346241,0.068561872,0.18896321,Austin Hays,19363,669720
Austin Hedges,Left,Right,2018,459,0.236260817,0.534676946,0.205128205,0.358974358,0.29577465,0.08496732,0.28540305,Austin Hedges,12976,595978
Austin Nola,Left,Right,2019,417,0.317842146,0.738935251,0.204334365,0.374613003,0.38080495,0.083932853,0.134292565,Austin Nola,15941,543592
Austin Riley,Left,Right,2019,590,0.384875682,0.9268896,0.223433242,0.332425068,0.39509537,0.098305084,0.272881355,Austin Riley,18360,663586
Austin Slater,Left,Right,2018,749,0.362393959,0.837733464,0.222916666,0.502083333,0.34782609,0.109479305,0.226969292,Austin Slater,16153,596103
Avisaíl García,Left,Right,2018,572,0.334242139,0.785570727,0.216438356,0.476712328,0.44931507,0.101398601,0.251748251,Avisail Garcia,5760,541645
Billy Hamilton,Left,Right,2018,351,0.257871428,0.592819029,0.251207729,0.309178743,0.21917808,0.088319088,0.287749287,Billy Hamilton,10199,571740
Bo Bichette,Left,Right,2019,482,0.385653122,0.908615343,0.257062146,0.449152542,0.33521127,0.074688796,0.184647302,Bo Bichette,19612,666182
Bobby Dalbec,Left,Right,2020,352,0.36269018,0.85530956,0.242268041,0.324742268,0.36082474,0.079545454,0.357954545,Bobby Dalbec,19966,666915
Bobby Witt Jr.,Left,Right,2022,295,0.333926868,0.78934451,0.178899082,0.362385321,0.37442922,0.040677966,0.210169491,Bobby Witt Jr.,25764,677951
Brandon Drury,Left,Right,2018,527,0.327659228,0.77001518,0.243835616,0.4,0.37808219,0.04174573,0.258064516,Brandon Drury,11615,592273
Brendan Rodgers,Left,Right,2019,398,0.367443905,0.851259057,0.221088435,0.50340136,0.36734694,0.075376884,0.170854271,Brendan Rodgers,17907,663898
Brent Rooker,Left,Right,2020,282,0.341538144,0.787580002,0.25,0.33125,0.4,0.088652482,0.312056737,Brent Rooker,19627,667670
Brian Anderson,Left,Right,2018,585,0.303689458,0.695299144,0.196132596,0.464088397,0.36740331,0.088888888,0.271794871,Brian Anderson,18289,605119
Brian Dozier,Left,Right,2018,344,0.316328081,0.727871381,0.202702702,0.396396396,0.38116592,0.139534883,0.209302325,Brian Dozier,9810,572821
Bryan De La Cruz,Left,Right,2021,305,0.302864107,0.687309993,0.252475247,0.425742574,0.34158416,0.081967213,0.252459016,Bryan De La Cruz,19600,650559
Bryan Reynolds,Left,Right,2019,769,0.336765428,0.785996399,0.210626185,0.512333965,0.32637571,0.080624187,0.22756827,Bryan Reynolds,19326,668804
Buster Posey,Left,Right,2018,402,0.342927984,0.808485198,0.210862619,0.460063897,0.35463259,0.089552238,0.129353233,Buster Posey,9166,457763
Byron Buxton,Left,Right,2018,407,0.348392704,0.829024097,0.19140625,0.3671875,0.40077821,0.071253071,0.289926289,Byron Buxton,14161,621439
C.J. Cron,Left,Right,2018,742,0.363785008,0.871329266,0.208677685,0.386363636,0.35743802,0.082210242,0.250673854,C.J. Cron,12546,543068
Cameron Maybin,Left,Right,2018,284,0.292841503,0.667295108,0.16080402,0.502512562,0.31840796,0.098591549,0.190140845,Cameron Maybin,5223,457727
Carlos Correa,Left,Right,2018,781,0.367437009,0.851131544,0.244821092,0.401129943,0.36911488,0.14084507,0.174135723,Carlos Correa,14162,621043
Carlos Santana,Left,Right,2018,957,0.355477006,0.824012236,0.165034965,0.513286713,0.35804196,0.123301985,0.123301985,Carlos Santana,2396,467793
Carson Kelly,Left,Right,2018,475,0.346424435,0.819839428,0.235849056,0.336477987,0.39937107,0.115789473,0.206315789,Carson Kelly,13620,608348
César Hernández,Left,Right,2018,825,0.307310437,0.699322611,0.188356164,0.535958904,0.31561462,0.09090909,0.174545454,Cesar Hernandez,10556,514917
Chad Pinder,Left,Right,2018,629,0.333954358,0.781725494,0.205250596,0.484486873,0.45130641,0.06836248,0.252782193,Chad Pinder,15191,640461
Charlie Culberson,Left,Right,2018,401,0.33785906,0.797778849,0.232081911,0.488054607,0.27906977,0.039900249,0.206982543,Charlie Culberson,3298,518586
Chas McCormick,Left,Right,2021,343,0.402354101,0.947713671,0.253456221,0.322580645,0.36818182,0.099125364,0.250728862,Chas McCormick,19599,676801
Chris Owings,Left,Right,2018,312,0.291513744,0.674816849,0.25698324,0.374301675,0.38043478,0.089743589,0.314102564,Chris Owings,10030,572008
