Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Aaron Judge,Right,Right,2018,2124,0.404937152,0.966890278,0.383595691,0.227837613,0.48301574,0.145009416,0.279190207,Aaron Judge,15640,592450
Adam Duvall,Right,Right,2018,1456,0.32041806,0.755861425,0.296666666,0.19,0.33740289,0.065247252,0.300824175,Adam Duvall,10950,594807
Adam Engel,Right,Right,2018,827,0.292389618,0.669566959,0.421052631,0.210526315,0.28326996,0.048367593,0.292623941,Adam Engel,15082,641553
Adam Jones,Right,Right,2018,799,0.314409735,0.734455586,0.439065108,0.193656093,0.34219269,0.050062578,0.181476846,Adam Jones,6368,430945
Addison Russell,Right,Right,2018,521,0.286705114,0.656529516,0.449438202,0.224719101,0.30277778,0.074856046,0.224568138,Addison Russell,14106,608365
Adolis García,Right,Right,2018,1353,0.333146206,0.782663838,0.407755581,0.178613396,0.41128085,0.06504065,0.293422025,Adolis Garcia,19287,666969
AJ Pollock,Right,Right,2018,1430,0.321520693,0.752290417,0.424212598,0.195866141,0.36997056,0.067132867,0.209090909,AJ Pollock,9256,572041
Albert Almora Jr.,Right,Right,2018,799,0.279933106,0.653638813,0.511187607,0.204819277,0.28978224,0.048811013,0.200250312,Albert Almora Jr.,14109,546991
Albert Pujols,Right,Right,2018,1205,0.292685951,0.680456431,0.421775898,0.181818181,0.38160677,0.063900414,0.13692946,Albert Pujols,1177,405395
Alcides Escobar,Right,Right,2018,715,0.277314789,0.632522796,0.451376146,0.223853211,0.25,0.05034965,0.149650349,Alcides Escobar,6310,444876
Alec Bohm,Right,Right,2020,1317,0.294362078,0.668640098,0.491735537,0.237603305,0.2964876,0.062262718,0.19514047,Alec Bohm,21618,664761
Aledmys Díaz,Right,Right,2018,1191,0.308868916,0.720634071,0.429978118,0.210065645,0.30895197,0.04617968,0.16540722,Aledmys Diaz,15937,649557
Alejandro Kirk,Right,Right,2020,873,0.329472843,0.745448419,0.484626647,0.197657393,0.33967789,0.105383734,0.100801832,Alejandro Kirk,22581,672386
Alex Bregman,Right,Right,2018,2313,0.373695513,0.86842306,0.353297035,0.201451905,0.35550181,0.139213143,0.130134025,Alex Bregman,17678,608324
Amed Rosario,Right,Right,2018,2287,0.290157218,0.672737852,0.508690614,0.205677867,0.27572254,0.041976388,0.195452557,Amed Rosario,15518,642708
Andrelton Simmons,Right,Right,2018,1171,0.282835076,0.646248486,0.532157676,0.174273858,0.28804903,0.056362083,0.101622544,Andrelton Simmons,10847,592743
Andrew Knizner,Right,Right,2019,584,0.293338469,0.659631877,0.473282442,0.17048346,0.29292929,0.085616438,0.217465753,Andrew Knizner,19514,668800
Andrew McCutchen,Right,Right,2018,1933,0.32055308,0.727909276,0.421988682,0.195634599,0.35084883,0.130367304,0.221417485,Andrew McCutchen,9847,457705
Andrew Vaughn,Right,Right,2021,1233,0.313595518,0.723160514,0.459613196,0.195676905,0.33447099,0.0567721,0.210867802,Andrew Vaughn,26197,683734
Andy Ibáñez,Right,Right,2021,524,0.296189569,0.675966995,0.455919395,0.151133501,0.28822055,0.070610687,0.164122137,Andy Ibanez,18819,628451
Anthony Rendon,Right,Right,2018,1503,0.369314932,0.866203538,0.34355275,0.218214607,0.37927928,0.107119095,0.138389886,Anthony Rendon,12861,543685
Austin Barnes,Right,Right,2018,785,0.281034459,0.62824314,0.452,0.178,0.27810651,0.108280254,0.228025477,Austin Barnes,12158,605131
Austin Hays,Right,Right,2019,1288,0.32211435,0.746689027,0.440265486,0.185840707,0.3061674,0.057453416,0.222826086,Austin Hays,19363,669720
Austin Hedges,Right,Right,2018,1159,0.245927629,0.565473116,0.372311827,0.190860215,0.28571429,0.056945642,0.261432269,Austin Hedges,12976,595978
Austin Nola,Right,Right,2019,779,0.298359602,0.672079953,0.430188679,0.211320754,0.28200371,0.092426187,0.193838254,Austin Nola,15941,543592
Austin Riley,Right,Right,2019,1983,0.35252132,0.827787453,0.394290123,0.227623456,0.384734,0.071608673,0.254160363,Austin Riley,18360,663586
Austin Romine,Right,Right,2018,623,0.263401153,0.611221147,0.493765586,0.174563591,0.3226601,0.04494382,0.300160513,Austin Romine,5491,519222
Austin Slater,Right,Right,2018,610,0.285307885,0.637871406,0.551401869,0.239875389,0.31402439,0.104918032,0.345901639,Austin Slater,16153,596103
Avisaíl García,Right,Right,2018,1561,0.300547924,0.701649141,0.494796594,0.193945127,0.3320719,0.047405509,0.255605381,Avisail Garcia,5760,541645
Bo Bichette,Right,Right,2019,1846,0.345139113,0.805363164,0.478518518,0.22074074,0.3562963,0.049295774,0.213976164,Bo Bichette,19612,666182
Bobby Dalbec,Right,Right,2020,599,0.292445332,0.6783702,0.408408408,0.183183183,0.34234234,0.07178631,0.358931552,Bobby Dalbec,19966,666915
Bobby Witt Jr.,Right,Right,2022,1030,0.326531155,0.76484165,0.374512353,0.179453836,0.33592737,0.056310679,0.18737864,Bobby Witt Jr.,25764,677951
Brandon Drury,Right,Right,2018,1234,0.309493172,0.723395633,0.428235294,0.192941176,0.34,0.063209076,0.235008103,Brandon Drury,11615,592273
Brendan Rodgers,Right,Right,2019,892,0.293367212,0.672967015,0.528771384,0.188180404,0.34525661,0.056053811,0.21412556,Brendan Rodgers,17907,663898
Brent Rooker,Right,Right,2020,514,0.323247556,0.754510468,0.359861591,0.197231833,0.36678201,0.081712062,0.330739299,Brent Rooker,19627,667670
Brian Anderson,Right,Right,2018,1842,0.32915124,0.755960697,0.497921862,0.187032418,0.36325852,0.095005428,0.230184581,Brian Anderson,18289,605119
Brian Dozier,Right,Right,2018,786,0.310891176,0.719305232,0.366223908,0.176470588,0.37689394,0.106870229,0.212468193,Brian Dozier,9810,572821
Bryan De La Cruz,Right,Right,2021,895,0.319867355,0.74495566,0.423809523,0.239682539,0.36507937,0.058100558,0.232402234,Bryan De La Cruz,19600,650559
Buster Posey,Right,Right,2018,945,0.330806047,0.756649906,0.481590574,0.243004418,0.33970588,0.104761904,0.168253968,Buster Posey,9166,457763
Byron Buxton,Right,Right,2018,1100,0.337938991,0.803724954,0.325714285,0.182857142,0.36595745,0.07,0.273636363,Byron Buxton,14161,621439
C.J. Cron,Right,Right,2018,1826,0.336291749,0.786748017,0.410130718,0.198529411,0.36928105,0.073384446,0.234392113,C.J. Cron,12546,543068
Cameron Maybin,Right,Right,2018,503,0.322931106,0.741990023,0.462025316,0.240506329,0.36050157,0.099403578,0.258449304,Cameron Maybin,5223,457727
Carlos Correa,Right,Right,2018,2038,0.330830249,0.772707085,0.448023426,0.197657393,0.35724744,0.092737978,0.229146221,Carlos Correa,14162,621043
Carson Kelly,Right,Right,2018,925,0.276550619,0.63026496,0.404838709,0.191935483,0.33173077,0.096216216,0.218378378,Carson Kelly,13620,608348
Chad Pinder,Right,Right,2018,747,0.277386058,0.640746874,0.471193415,0.199588477,0.32244898,0.052208835,0.281124497,Chad Pinder,15191,640461
Chas McCormick,Right,Right,2021,841,0.314703207,0.719474392,0.438247011,0.199203187,0.31372549,0.091557669,0.286563614,Chas McCormick,19599,676801
Chris Taylor,Right,Right,2018,1750,0.327342182,0.754851163,0.350687622,0.263261296,0.33624031,0.091428571,0.304,Chris Taylor,13757,621035
Christian Arroyo,Right,Right,2018,547,0.309926729,0.71427311,0.495,0.2,0.30693069,0.054844606,0.188299817,Christian Arroyo,16434,624414
Christian Vázquez,Right,Right,2018,1609,0.291528638,0.668204991,0.427969671,0.232518955,0.27401838,0.062771908,0.187072715,Christian Vazquez,9774,543877
Christian Walker,Right,Right,2018,1935,0.336130158,0.788628858,0.397553516,0.184250764,0.3853211,0.085788113,0.225839793,Christian Walker,13419,572233
Christopher Morel,Right,Right,2022,634,0.33869972,0.790463721,0.467213114,0.166666666,0.38709677,0.08044164,0.328075709,Christopher Morel,21897,666624
Clint Frazier,Right,Right,2018,513,0.33036397,0.763217567,0.407407407,0.212121212,0.30976431,0.116959064,0.288499025,Clint Frazier,15983,640449
Connor Joe,Right,Right,2019,731,0.318279957,0.717232789,0.397435897,0.237179487,0.31276596,0.112175102,0.229822161,Connor Joe,16572,656582
Curt Casali,Right,Right,2018,643,0.298731437,0.67900954,0.32722513,0.240837696,0.33074935,0.107309486,0.275272161,Curt Casali,12510,592200
Danny Jansen,Right,Right,2018,960,0.327674377,0.761583378,0.35660091,0.195751138,0.37405732,0.084375,0.204166666,Danny Jansen,16535,643376
